branch,amount_in_gbp,qty,region,county
Armagh outlet,11352899748.7514,105239104,Northern Ireland,Armagh
Ballymoney store,11450307515.861,106169826,Northern Ireland,Ballymoney
Bargoed outlet,11488453160.198,106212042,Wales,Bargoed
Barry outlet,12690322614.757,118919062,Wales,Barry
Bassetlaw outlet,13838435781.5576,131010110,East Midlands,Bassetlaw
Bedford Borough branch,12632064984.530401,118264523,East of England,Bedford Borough
Bedfordshire store,11424474647.0216,105557414,East of England,Bedfordshire
Belfast branch,12617468877.3666,118295101,Northern Ireland,Belfast
Bracknell Forest store,12754892706.232801,119976316,South East England,Bracknell Forest
Bridgend outlet,12746160712.4764,119841171,Wales,Bridgend
Castle Point outlet,13763035935.947401,130164584,East of England,Castle Point
Ceredigion store,13552092646.0928,128758178,Wales,Ceredigion
Cheshire East outlet,13800431391.565601,130905595,North West England,Cheshire East
Chiltern store,13657518039.582201,129348608,South East England,Chiltern
Chorley store,12622398712.538,118826500,North West England,Chorley
Colchester outlet,11435456748.3466,106249294,East of England,Colchester
Darlington store,11610976195.8472,107426628,North East England,Darlington
Dorset outlet,13771720637.9698,129641054,South West England,Dorset
Dumfries and Galloway branch,12509473807.5256,117806073,Scotland,Dumfries and Galloway
East Cambridgeshire outlet,13913455579.144201,132648927,East of England,East Cambridgeshire
East Cambridgeshire outlet,13913455579.144201,132648927,East of England,East Cambridgeshire
East Devon branch,13514749245.335001,128524982,South West England,East Devon
East Dunbartonshire branch,11391357854.731,106319275,Scotland,East Dunbartonshire
East Hertfordshire branch,11344618607.1618,104757852,East of England,East Hertfordshire
East Lindsey branch,12860044592.2204,120173972,East Midlands,East Lindsey
East Lindsey branch,12860044592.2204,120173972,East Midlands,East Lindsey
East Lindsey branch,12860044592.2204,120173972,East Midlands,East Lindsey
East Sussex outlet,13666674086.1166,129858134,South East England,East Sussex
Edinburgh City branch,11413946194.3204,105717607,Scotland,Edinburgh City
Edinburgh City branch,11413946194.3204,105717607,Scotland,Edinburgh City
Epsom and Ewell store,13855723686.9088,131062225,South East England,Epsom and Ewell
Falkirk branch,12539424504.1312,117816133,Scotland,Falkirk
Falkirk branch,12539424504.1312,117816133,Scotland,Falkirk
Falkirk branch,12539424504.1312,117816133,Scotland,Falkirk
Fareham outlet,12551569141.5764,117533836,South East England,Fareham
Flintshire branch,13990965106.184801,132643870,Wales,Flintshire
Forest of Dean store,13673066262.582,129892798,South West England,Forest of Dean
Fylde outlet,13752944213.975801,130388967,North West England,Fylde
Glasgow City outlet,11533912999.6326,106859872,Scotland,Glasgow City
Greater London branch,13750717244.0104,130866496,London,Greater London
Greater London branch,13750717244.0104,130866496,London,Greater London
Hackney store,11711047757.6114,108119704,London,Hackney
Hampshire branch,12751109699.7794,119270238,South East England,Hampshire
Haringey store,13704143410.599401,129552223,London,Haringey
Harrow outlet,12421188057.5578,117416096,London,Harrow
Hinckley and Bosworth branch,12406852569.8344,116837147,East Midlands,Hinckley and Bosworth
Isle of Anglesey outlet,11631930083.7504,108464193,Wales,Isle of Anglesey
Isle of Wight store,12556439346.477201,117567707,South East England,Isle of Wight
Islington branch,12464872055.912,117305306,London,Islington
Islington branch,12464872055.912,117305306,London,Islington
Kent branch,13635353954.842001,129343462,South East England,Kent
Kent branch,13635353954.842001,129343462,South East England,Kent
Lambeth store,13807838579.155,130186640,London,Lambeth
Lancashire store,11551138589.009,107256377,North West England,Lancashire
Larne store,13393615337.7652,126544974,Northern Ireland,Larne
Lichfield outlet,13500077136.759,128372360,West Midlands,Lichfield
Lincoln branch,13839126767.7122,131900207,East Midlands,Lincoln
Lincolnshire store,11448986776.7042,106384560,East Midlands,Lincolnshire
Mole Valley store,13568357360.701601,128337952,South East England,Mole Valley
Neath Port Talbot outlet,11494381134.3568,106779332,Wales,Neath Port Talbot
Neath Port Talbot outlet,11494381134.3568,106779332,Wales,Neath Port Talbot
Newark and Sherwood store,11738446597.9622,108257431,East Midlands,Newark and Sherwood
Newham branch,13682595963.9858,130017221,London,Newham
Norfolk outlet,12525376772.1472,117669968,East of England,Norfolk
North Ayrshire store,13841306247.2858,130867673,Scotland,North Ayrshire
North Yorkshire outlet,12844817054.7884,120392702,Yorkshire and the Humber,North Yorkshire
North Yorkshire store,13843488765.533201,130874199,Yorkshire and the Humber,North Yorkshire
Nottinghamshire store,12666417675.1578,119000673,East Midlands,Nottinghamshire
Orkney store,13712620750.9816,129973194,Scotland,Orkney
Orkney store,13712620750.9816,129973194,Scotland,Orkney
Oxford outlet,12540749418.4662,118100522,South East England,Oxford
Peeblesshire outlet,13475295075.2626,128124175,Scotland,Peeblesshire
Powys outlet,12387807247.9032,116608754,Wales,Powys
Reigate and Banstead branch,11562336985.8024,107189846,South East England,Reigate and Banstead
Rhoose branch,12672781681.440601,118966868,Wales,Rhoose
Richmondshire outlet,13806726770.460201,130845287,Yorkshire and the Humber,Richmondshire
Rugby branch,11406901286.4698,105432450,West Midlands,Rugby
Rushcliffe branch,11557168296.5034,107749608,East Midlands,Rushcliffe
Sefton outlet,13784575399.4906,130241322,North West England,Sefton
Selby branch,11529866337.4916,107504427,Yorkshire and the Humber,Selby
Sevenoaks branch,11469328952.326801,106129708,South East England,Sevenoaks
Shepway store,11688502206.203201,107549650,South East England,Shepway
South Northamptonshire store,13824308732.836601,131621748,East Midlands,South Northamptonshire
St. Edmundsbury branch,12297381576.8792,115693988,East of England,St. Edmundsbury
Staffordshire store,13778199446.233,130457045,West Midlands,Staffordshire
Stockton-on-Tees store,11572861281.047,108210761,North East England,Stockton-on-Tees
Stoke-on-Trent store,13808009847.0338,130958633,West Midlands,Stoke-on-Trent
Swansea store,13810733652.214,130137275,Wales,Swansea
Tyne and Wear outlet,13744036739.0756,130871905,North East England,Tyne and Wear
Uttlesford branch,11612456058.0688,108176515,East of England,Uttlesford
Warwickshire branch,13803473628.496601,131043199,West Midlands,Warwickshire
Warwickshire branch,13803473628.496601,131043199,West Midlands,Warwickshire
West Oxfordshire outlet,11493836312.8228,106350049,South East England,West Oxfordshire
West Somerset branch,12509382438.091,116821303,South West England,West Somerset
West Somerset branch,12509382438.091,116821303,South West England,West Somerset
Worcestershire branch,11553815256.9374,107166517,West Midlands,Worcestershire
Wrexham store,11205072524.649801,104478899,Wales,Wrexham
Wrexham store,11205072524.649801,104478899,Wales,Wrexham
Wyre branch,13821307999.0774,131095259,North West England,Wyre
