branch,profit
Armagh outlet,11351476422.7514
Ballymoney store,11448904485.861
Bargoed outlet,11487072156.198
Barry outlet,12688749147.757
Bassetlaw outlet,13836709903.5576
Bedford Borough branch,12630470518.530401
Bedfordshire store,11423076032.0216
Belfast branch,12615915308.3666
Bracknell Forest store,12753307794.232801
Bridgend outlet,12744601645.4764
Castle Point outlet,13761350836.947401
Ceredigion store,13550296323.0928
Cheshire East outlet,13798700579.565601
Chiltern store,13655817577.582201
Chorley store,12620788087.538
Colchester outlet,11434040643.3466
Darlington store,11609547449.8472
Dorset outlet,13770039865.9698
Dumfries and Galloway branch,12507896205.5256
East Cambridgeshire outlet,13910095758.144201
East Devon branch,13513042990.335001
East Dunbartonshire branch,11389966813.731
East Hertfordshire branch,11343155751.1618
East Lindsey branch,12855300481.2204
East Sussex outlet,13664946172.1166
Edinburgh City branch,11411144235.3204
Epsom and Ewell store,13853996105.9088
Falkirk branch,12534767283.1312
Fareham outlet,12550002913.5764
Flintshire branch,13989229541.184801
Forest of Dean store,13671380976.582
Fylde outlet,13751264174.975801
Glasgow City outlet,11532530504.6326
Greater London branch,13747335430.0104
Hackney store,11709644815.6114
Hampshire branch,12749531216.7794
Haringey store,13702436008.599401
Harrow outlet,12419599884.5578
Hinckley and Bosworth branch,12405285431.8344
Isle of Anglesey outlet,11630508253.7504
Isle of Wight store,12554856351.477201
Islington branch,12461741238.912
Kent branch,13631930818.842001
Lambeth store,13806121889.155
Lancashire store,11549738674.009
Larne store,13391892951.7652
Lichfield outlet,13498371778.759
Lincoln branch,13837395010.7122
Lincolnshire store,11447557812.7042
Mole Valley store,13566703012.701601
Neath Port Talbot outlet,11491576373.3568
Newark and Sherwood store,11737092097.9622
Newham branch,13680864973.9858
Norfolk outlet,12523832338.1472
North Ayrshire store,13839537768.2858
North Yorkshire outlet,12843237428.7884
North Yorkshire store,13841778265.533201
Nottinghamshire store,12664790591.1578
Orkney store,13709132782.9816
Oxford outlet,12539172106.4662
Peeblesshire outlet,13473642665.2626
Powys outlet,12386182418.9032
Reigate and Banstead branch,11560967265.8024
Rhoose branch,12671181959.440601
Richmondshire outlet,13804984774.460201
Rugby branch,11405461563.4698
Rushcliffe branch,11555782051.5034
Sefton outlet,13782845508.4906
Selby branch,11528459147.4916
Sevenoaks branch,11467927805.326801
Shepway store,11687077138.203201
South Northamptonshire store,13822576362.836601
St. Edmundsbury branch,12295858965.8792
Staffordshire store,13776493027.233
Stockton-on-Tees store,11571469313.047
Stoke-on-Trent store,13806284833.0338
Swansea store,13808974743.214
Tyne and Wear outlet,13742321229.0756
Uttlesford branch,11611054575.0688
Warwickshire branch,13800113025.496601
West Oxfordshire outlet,11492392507.8228
West Somerset branch,12506247139.091
Worcestershire branch,11552427392.9374
Wrexham store,11202294905.649801
Wyre branch,13819546276.0774
York outlet,11508826393.472
